GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars),Margin of Error; Aggregate household income in the past 12 months (in 2013 inflation-adjusted dollars)
1500000US040130506062,040130506062,"Block Group 2, Census Tract 506.06, Maricopa County, Arizona",96526700,21513601
1500000US040130506063,040130506063,"Block Group 3, Census Tract 506.06, Maricopa County, Arizona",49886000,13397272
1500000US040130506071,040130506071,"Block Group 1, Census Tract 506.07, Maricopa County, Arizona",10619000,3360986
1500000US040130506072,040130506072,"Block Group 2, Census Tract 506.07, Maricopa County, Arizona",17486200,6497895
1500000US040130506073,040130506073,"Block Group 3, Census Tract 506.07, Maricopa County, Arizona",54007600,20945072
1500000US040130506074,040130506074,"Block Group 4, Census Tract 506.07, Maricopa County, Arizona",29270600,9405352
1500000US040130506075,040130506075,"Block Group 5, Census Tract 506.07, Maricopa County, Arizona",21629700,6655729
1500000US040130506081,040130506081,"Block Group 1, Census Tract 506.08, Maricopa County, Arizona",32499900,10093641
1500000US040130506082,040130506082,"Block Group 2, Census Tract 506.08, Maricopa County, Arizona",15249000,6517087
1500000US040130506083,040130506083,"Block Group 3, Census Tract 506.08, Maricopa County, Arizona",37940300,12325970
1500000US040130506084,040130506084,"Block Group 4, Census Tract 506.08, Maricopa County, Arizona",37116200,12373425
1500000US040130506091,040130506091,"Block Group 1, Census Tract 506.09, Maricopa County, Arizona",42516200,12702700
1500000US040130506092,040130506092,"Block Group 2, Census Tract 506.09, Maricopa County, Arizona",23384800,4648904
1500000US040130506093,040130506093,"Block Group 3, Census Tract 506.09, Maricopa County, Arizona",19236000,5888742
1500000US040130506101,040130506101,"Block Group 1, Census Tract 506.10, Maricopa County, Arizona",111480500,26131402
1500000US040130506102,040130506102,"Block Group 2, Census Tract 506.10, Maricopa County, Arizona",64452100,16288467
1500000US040130506103,040130506103,"Block Group 3, Census Tract 506.10, Maricopa County, Arizona",17887500,10093131
1500000US040130506111,040130506111,"Block Group 1, Census Tract 506.11, Maricopa County, Arizona",61583900,10098381
1500000US040130506112,040130506112,"Block Group 2, Census Tract 506.11, Maricopa County, Arizona",32542100,15142497
1500000US040130507011,040130507011,"Block Group 1, Census Tract 507.01, Maricopa County, Arizona",53482400,9350168
1500000US040130507012,040130507012,"Block Group 2, Census Tract 507.01, Maricopa County, Arizona",32363100,7493039
1500000US040130507021,040130507021,"Block Group 1, Census Tract 507.02, Maricopa County, Arizona",23245900,5372342
1500000US040130507022,040130507022,"Block Group 2, Census Tract 507.02, Maricopa County, Arizona",22177400,7026913
1500000US040130507023,040130507023,"Block Group 3, Census Tract 507.02, Maricopa County, Arizona",24523400,7559056
1500000US040130608011,040130608011,"Block Group 1, Census Tract 608.01, Maricopa County, Arizona",12283800,5657027
1500000US040130608012,040130608012,"Block Group 2, Census Tract 608.01, Maricopa County, Arizona",11676200,5811469
